codigo_ibge,shapefile_nome,date,organiccarbonbiofuelemissions_max,organiccarbonbiofuelemissions_min,organiccarbonbiofuelemissions_mea,organiccarbonbiogenicemissions_max,organiccarbonbiogenicemissions_min,organiccarbonbiogenicemissions_mea,organiccarbonanthropogenicemissions_max,organiccarbonanthropogenicemissions_min,organiccarbonanthropogenicemissions_mea,organiccarbonbiomassburningemissions_max,organiccarbonbiomassburningemissions_min,organiccarbonbiomassburningemissions_mea,blackcarbonbiomassburning_max,blackcarbonbiomassburning_min,blackcarbonbiomassburning_mea,blackcarbonbiofuel_max,blackcarbonbiofuel_min,blackcarbonbiofuel_mea,so2antropogenico_max,so2antropogenico_min,so2antropogenico_mea,so4antropogenico_max,so4antropogenico_min,so4antropogenico_mea,so2biomassburning_max,so2biomassburning_min,so2biomassburning_mea,blackcarbonantrogonenico_max,blackcarbonantrogonenico_min,blackcarbonantrogonenico_mea,comerra2_max,comerra2_min,comerra2_mea,o3merra2_max,o3merra2_min,o3merra2_mea,o3omi_max,o3omi_min,o3omi_mea,aodterramodis_max,aodterramodis_min,aodterramodis_mea
3550308,SP_São_Paulo,2024-01-01,0.0,0.0,0.0,8.469669410260394e-12,8.469669410260394e-12,8.469669410260394e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,3.26050297871916e-12,1.6139867220488213e-14,6.870594949452228e-13,3.2873703759150885e-13,1.6276043013352393e-15,6.928476528033263e-14,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,2.396971510165713e-13,1.186550857568136e-15,5.0518129176418964e-14,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.639755494892597e-09,7.610651664435863e-09,7.61747287469916e-09,271.8174133300781,264.0826721191406,266.3192596435547,271.8174133300781,264.0826721191406,266.3192596435547,0.2559000253677368,0.1039517372846603,0.16752223515262202
3550308,SP_São_Paulo,2024-01-02,0.0,0.0,0.0,8.44124770082999e-12,8.44124770082999e-12,8.44124770082999e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,6.408207298136405e-13,3.17280923756158e-15,1.3505060784957393e-13,6.464273560879974e-14,3.1994806110047236e-16,1.3620217511704317e-14,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,4.7128967395337895e-14,2.333203075188805e-16,9.93130997000343e-15,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.621565600857139e-09,7.617927622050047e-09,7.618533951851228e-09,272.2170104980469,266.853515625,269.0380261739095,272.2170104980469,266.853515625,269.0380261739095,0.2935177385807037,0.1153536438941955,0.2049284024784962
3550308,SP_São_Paulo,2024-01-03,0.0,0.0,0.0,8.412825991399586e-12,8.412825991399586e-12,8.412825991399586e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,2.6434410216324977e-13,1.3084151817555068e-15,5.5700832401334166e-14,2.6652291484907664e-14,1.3194740439148591e-16,5.616569311780543e-15,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,1.9435841824844147e-14,9.619583775377638e-17,4.09561775227725e-15,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.62520357966423e-09,7.621565600857139e-09,7.621717183307434e-09,268.5758056640625,264.61090087890625,266.1748224894206,268.5758056640625,264.61090087890625,266.1748224894206,0.2888267934322357,0.1275578141212463,0.20210920460522172
3550308,SP_São_Paulo,2024-01-04,0.0,0.0,0.0,8.387956995647983e-12,8.387956995647983e-12,8.387956995647983e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,1.7111312367035225e-14,8.470329472543002e-17,3.605344918011094e-15,1.7251824968589349e-15,8.541480240112366e-18,3.635622110710699e-16,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,1.2581082009521791e-15,6.227386228213616e-18,2.651067717583348e-16,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.62520357966423e-09,7.62520357966423e-09,7.62520357966423e-09,275.49786376953125,258.80377197265625,264.5391209920247,275.49786376953125,258.80377197265625,264.5391209920247,0.113576591014862,0.0381828844547271,0.06940021350358919
3550308,SP_São_Paulo,2024-01-05,0.0,0.0,0.0,8.359535286217579e-12,8.359535286217579e-12,8.359535286217579e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,1.4712623480628295e-16,7.28660092875512e-19,3.102188465565924e-17,1.4840017235895342e-17,7.348010817431055e-20,3.128444501697337e-18,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,1.0821692934120941e-17,5.3574833913834496e-20,2.2810475949735135e-18,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.628841558471322e-09,7.628841558471322e-09,7.628841558471322e-09,275.2176818847656,260.5480041503906,267.5130271911621,275.2176818847656,260.5480041503906,267.5130271911621,0.0898673459887504,0.0512713119387626,0.07206927829732493
3550308,SP_São_Paulo,2024-01-06,0.0,0.0,0.0,8.331113576787175e-12,8.331113576787175e-12,8.331113576787175e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,4.512991542970912e-18,2.235372887363302e-20,9.51762836063381e-19,4.55068450912373e-19,2.2540671692070004e-21,9.597680143047984e-20,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,3.3182515708687216e-19,1.643607877142866e-21,6.997882497066787e-20,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.632479537278414e-09,7.632479537278414e-09,7.632479537278414e-09,273.31201171875,264.2505798339844,269.8097788492839,273.31201171875,264.2505798339844,269.8097788492839,0.131682738661766,0.0564170256257057,0.08569075291355448
3550308,SP_São_Paulo,2024-01-07,0.0,0.0,0.0,8.302691867356769e-12,8.302691867356769e-12,8.302691867356769e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,4.085620730620576e-11,2.0222712393547226e-13,8.610054798759611e-12,3.703704010149522e-12,1.8332557694122894e-14,7.806270097924598e-13,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,3.198330489340151e-12,1.5834555888716295e-14,6.74134359446299e-13,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.934431778267026e-09,7.639755494892597e-09,7.700236892560497e-09,272.7447814941406,261.7823181152344,266.1937777201335,272.7447814941406,261.7823181152344,266.1937777201335,0.1396648734807968,0.0671126469969749,0.103277093420426
3550308,SP_São_Paulo,2024-01-08,0.0,0.0,0.0,8.277822871605167e-12,8.277822871605167e-12,8.277822871605167e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,2.295941214924824e-12,1.1369377661551994e-14,4.839148468512485e-13,2.0816681711721685e-13,1.0304257447302234e-15,4.387303599121909e-14,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,1.798006188380441e-13,8.89913143176102e-16,3.7893715220070164e-14,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.657945388928056e-09,7.643393473699689e-09,7.646121957805008e-09,268.67608642578125,264.85357666015625,266.98522694905597,268.67608642578125,264.85357666015625,266.98522694905597,0.1842396408319473,0.0828019231557846,0.11260766598085559
3550308,SP_São_Paulo,2024-01-09,0.0,0.0,0.0,8.249401162174763e-12,8.249401162174763e-12,8.249401162174763e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,3.0880187296133954e-11,1.5293322164211534e-13,6.510350129366553e-12,3.113953539468639e-12,1.541822225448186e-14,6.563930533369048e-13,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,2.2710722191732202e-12,1.1247947018233616e-14,4.787906182635027e-13,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.847120286896825e-09,7.64703145250678e-09,7.68871662633804e-09,265.7359313964844,262.0843811035156,263.97562917073566,265.7359313964844,262.0843811035156,263.97562917073566,0.2174690216779709,0.0793597251176834,0.12194648571312423
3550308,SP_São_Paulo,2024-01-10,0.0,0.0,0.0,8.220979452744359e-12,8.220979452744359e-12,8.220979452744359e-12,4.790479124494596e-11,4.790479124494596e-11,4.790479124494596e-11,6.23856521997368e-12,3.089195566019498e-14,1.3150175393050745e-12,6.288303211476888e-13,3.1138286393783687e-15,1.3257674761254132e-13,0.0,0.0,0.0,4.799858288606629e-10,4.799858288606629e-10,4.799858288606629e-10,2.2346569039655148e-11,2.2346569039655148e-11,2.2346569039655148e-11,4.587441537751147e-13,2.271620391791629e-15,9.671202640809673e-14,1.9099388737231493e-11,1.9099388737231493e-11,1.9099388737231493e-11,7.690687198191881e-09,7.650669431313872e-09,7.659309630980715e-09,268.7298583984375,262.1096496582031,264.7287534077962,268.7298583984375,262.1096496582031,264.7287534077962,0.2613311111927032,0.0780199617147445,0.15566064448406294
