date,rnet_max,rnet_min,rnet_mea,rterm_max,rterm_min,rterm_mea,pblhera5_max,pblhera5_min,pblhera5_mea,globalradiation_max,globalradiation_min,globalradiation_mea,precipitation_sum,temperature_max,temperature_min,temperature_mea,humidity_min,humidity_mea,wind_mea,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity,spi_ind,elnino_ind,pm10_max,pm10_min,pm10_mea,pm25_max,pm25_min,pm25_mea,no_max,no_min,no_mea,no2_max,no2_min,no2_mea,nox_max,nox_min,nox_mea,o3_max,o3_min,o3_mea,so2_max,so2_min,so2_mea,Data,organiccarbonbiofuelemissions_max,organiccarbonbiofuelemissions_min,organiccarbonbiofuelemissions_mea,organiccarbonbiogenicemissions_max,organiccarbonbiogenicemissions_min,organiccarbonbiogenicemissions_mea,organiccarbonanthropogenicemissions_max,organiccarbonanthropogenicemissions_min,organiccarbonanthropogenicemissions_mea,organiccarbonbiomassburningemissions_max,organiccarbonbiomassburningemissions_min,organiccarbonbiomassburningemissions_mea,blackcarbonbiomassburning_max,blackcarbonbiomassburning_min,blackcarbonbiomassburning_mea,blackcarbonbiofuel_max,blackcarbonbiofuel_min,blackcarbonbiofuel_mea,so2antropogenico_max,so2antropogenico_min,so2antropogenico_mea,so4antropogenico_max,so4antropogenico_min,so4antropogenico_mea,so2biomassburning_max,so2biomassburning_min,so2biomassburning_mea,blackcarbonantrogonenico_max,blackcarbonantrogonenico_min,blackcarbonantrogonenico_mea,comerra2_max,comerra2_min,comerra2_mea,aodterramodis_max,aodterramodis_mea,aodterramodis_min,no2omi_max,no2omi_mea,no2omi_min,o3omi_max,o3omi_mea,o3omi_min,cases_sum,deaths_sum,week_number_ind,age_0_sum,age_1_10_sum,age_11_20_sum,age_21_30_sum,age_31_40_sum,age_41_50_sum,age_51_60_sum,age_61_70_sum,age_m70_sum,man_sum,woman_sum,unknownsex_sum,codibge
2000-03-12,2843520.0,3.599998771308677e-12,743227.9365079365,-26138.0,-404908.0,-166036.11458333334,1681.3702535629272,26.027088165283203,550.4279853048779,9.4,0.0,3.142857142857143,21.1,31.4,14.7,20.442857142857143,48.0,76.31428571428572,3.085714285714286,27.274491866896167,19.930810557282808,22.280006881021404,,0,0.0,,0,0.0,,-1.1,,,,,,,,,,,,,,,,,,,,,,2000-03-12,0.0,0.0,0.0,8.2707174e-12,7.826628e-12,8.048418985714286e-12,4.1097792e-11,4.108358e-11,4.108967085714285e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0163075e-10,6.0140337e-10,6.015657842857142e-10,2.7974068e-11,2.7966962e-11,2.7972037714285718e-11,0.0,0.0,0.0,1.5567991e-11,1.5560886e-11,1.5564946e-11,1256.7162,142.60428,448.90260053571427,,,,,,,,,,124,0,11,0,91,10,4,4,4,3,5,3,64,60,0,3550308
2000-03-19,3122240.0,3.599998771308677e-12,850783.4920634921,-20066.375,-505742.0,-202359.4836309524,1431.587432861328,18.418526649475098,496.3205803462437,8.0,1.6,4.385714285714285,38.5,29.1,14.7,21.15714285714285,43.0,78.74285714285715,3.128571428571429,23.497850052220425,21.184279357484503,22.309810343644543,,0,0.0,,0,0.0,,-1.1,,,,,,,,,,,,,,,,,,,,,,2000-03-19,0.0,0.0,0.0,7.755574e-12,7.506884e-12,7.588596428571428e-12,4.1112003e-11,4.1097792e-11,4.1103882428571424e-11,2.1032065e-12,0.0,9.499367671369046e-14,2.1188606e-13,0.0,9.571073609880953e-15,0.0,0.0,0.0,6.018581e-10,6.0163075e-10,6.017931428571428e-10,2.7988278e-11,2.7981173e-11,2.7983202999999997e-11,1.7330581e-13,0.0,7.828375369166667e-15,1.5575097e-11,1.5567991e-11,1.557205157142857e-11,1097.9326,160.46024,438.7058575595238,,,,,,,,,,149,1,12,0,113,12,5,1,7,4,4,3,79,70,0,3550308
2000-03-26,2881600.0,3.599998771308677e-12,747569.2698412698,-23908.0,-393659.25,-151440.80505952382,1607.9481964111328,16.922285079956055,523.9044402818831,7.4,0.0,2.585714285714286,6.300000000000001,30.6,17.2,21.385714285714283,48.0,81.58571428571429,3.3428571428571425,24.535476531624543,19.51119460542368,21.420455178165,,0,0.0,,0,0.0,,-1.1,,,,,,,,,,,,,,,,,,,,,,2000-03-26,0.0,0.0,0.0,7.496226e-12,7.442935e-12,7.469326771428571e-12,4.1126214e-11,4.1112003e-11,4.1118093428571426e-11,9.4608765e-12,1.5619454e-14,1.3298379763630953e-12,9.534595e-13,1.5733945e-15,1.3399024563392857e-13,0.0,0.0,0.0,6.020855e-10,6.018581e-10,6.020530142857143e-10,2.7995384e-11,2.7988278e-11,2.7993353714285715e-11,7.7982065e-13,1.287165e-15,1.0960307812023809e-13,1.5582202e-11,1.5575097e-11,1.5580172e-11,857.81836,184.1693,437.88910755952384,,,,,,,,,,194,0,13,0,149,8,4,2,8,8,7,6,104,90,0,3550308
2000-04-02,2719488.0,3.599998771308677e-12,675579.4285714285,-12540.0,-390845.0,-138508.04017857142,1530.1096496582031,22.381543159484863,464.7995742464822,7.5,0.0,2.314285714285714,21.4,29.1,17.8,20.97142857142857,50.0,80.81428571428572,2.8428571428571425,23.951792671297024,17.595767892682744,21.29306648559256,,0,0.0,,0,0.0,,-0.8,,,,,,,,,,,,,,,,,,,,,,2000-04-02,0.0,0.0,0.0,7.432277e-12,7.375434e-12,7.404362914285714e-12,4.1140424e-11,4.1126214e-11,4.1134334000000005e-11,1.6825652e-11,5.2055592e-14,2.8813173593392857e-12,1.6950885e-12,5.2458046e-15,2.9031021201845237e-13,0.0,0.0,0.0,6.0231287e-10,6.020855e-10,6.022803885714286e-10,2.8009595e-11,2.800249e-11,2.8005535e-11,1.3864465e-12,4.289972e-15,2.3747103886309524e-13,1.5589308e-11,1.5582202e-11,1.5588292857142856e-11,1429.2777,140.34477,449.97157999999996,,,,,,,,,,185,1,14,0,141,15,2,2,9,4,5,6,106,79,0,3550308
2000-04-09,2788992.0,3.599998771308677e-12,934227.3015873017,-27911.0,-476753.0,-234296.45486111112,1516.1217365264893,86.0260009765625,620.8183276464068,8.8,0.0,6.542857142857143,0.9,29.2,14.7,20.357142857142858,41.0,74.39999999999999,3.2142857142857144,23.56152568753576,20.47665449050285,22.63301357249308,,0,0.0,,0,0.0,,-0.8,,,,,,,,,,,,,,,,,,,,,,2000-04-09,0.0,0.0,0.0,7.368328e-12,7.311485e-12,7.340414071428572e-12,4.1154635e-11,4.1140424e-11,4.1148544571428575e-11,2.417977e-11,8.848479e-14,4.432707087922619e-12,2.4362734e-12,8.9164795e-15,4.466316341464285e-13,0.0,0.0,0.0,6.0254024e-10,6.0231287e-10,6.025077585714285e-10,2.8023805e-11,2.8009595e-11,2.8015685e-11,1.9930724e-12,7.292778e-15,3.653364649202381e-13,1.5596413e-11,1.5589308e-11,1.5595398e-11,929.6622,150.89873,462.70271101190474,,,,,,,,,,170,0,15,0,124,16,7,4,4,2,2,5,96,74,0,3550308
2000-04-16,2642112.0,3.599998771308677e-12,878281.6507936508,-27159.0,-502602.75,-227960.3844246032,2178.8487854003906,11.113157272338867,605.4779035855853,10.3,6.2,8.814285714285715,0.8,29.5,16.3,22.32857142857143,28.0,63.271428571428565,2.7285714285714286,25.473451055998577,22.990081694537917,24.17998870450855,,0,0.0,,0,0.0,,-0.8,,,,,,,,,,,,,,,,,,,,,,2000-04-16,0.0,0.0,0.0,7.304379e-12,7.2208906e-12,7.272404942857143e-12,4.1168846e-11,4.1154635e-11,4.116275557142857e-11,3.1548097e-11,1.2495561e-13,5.984260039226191e-12,3.1779024e-12,1.25871535e-14,6.029351118928572e-13,0.0,0.0,0.0,6.027676e-10,6.0254024e-10,6.0273512e-10,2.8030911e-11,2.8023805e-11,2.8026850428571426e-11,2.5996982e-12,1.02973186e-14,4.932148228488095e-13,1.5603518e-11,1.5603518e-11,1.5603518e-11,1331.7678,188.30096,565.5303591071429,,,,,,,,,,158,0,16,0,122,6,6,5,6,5,3,4,82,76,0,3550308
2000-04-23,2582976.0,3.599998771308677e-12,802910.4761904762,-38227.0,-480889.0,-241076.98859126985,1561.5394744873047,15.949254989624023,628.5066623612056,10.4,2.2,6.328571428571428,0.5,26.8,14.7,19.857142857142858,32.0,71.1,3.0,24.635994325466317,21.880824255111158,23.40203942971392,,0,0.0,,0,0.0,,-0.8,,,,,,,,,,,,,,,,,,,,,,2000-04-23,0.0,0.0,0.0,7.158718e-12,6.780354e-12,6.969155371428571e-12,4.1183057e-11,4.1168846e-11,4.117899671428571e-11,3.1548097e-11,1.2578828e-13,6.0032405717261905e-12,3.1796787e-12,1.2677361e-14,6.049976155833333e-13,0.0,0.0,0.0,6.02995e-10,6.027676e-10,6.029625142857143e-10,2.8045122e-11,2.8030911e-11,2.8037001142857144e-11,2.6005864e-12,1.0349361e-14,4.944401184678571e-13,1.561773e-11,1.5610624e-11,1.5611639142857143e-11,1094.9685,126.62108,445.63993232142855,,,,,,,,,,136,0,17,0,107,2,6,4,2,6,2,6,76,60,0,3550308
2000-04-30,2613888.0,3.599998771308677e-12,932710.0952380951,-27212.0,-561062.0,-302848.3035714286,2041.6531219482424,73.41350364685059,597.5865654415554,10.3,7.7,9.342857142857143,0.0,28.7,12.5,19.557142857142857,19.0,65.7,2.271428571428572,25.33139282939243,23.421353368055573,24.044784456526468,,0,0.0,,0,0.0,,-0.8,,,,,,,,,,,,,,,,,,,,,,2000-04-30,0.0,0.0,0.0,6.716405e-12,6.338041e-12,6.527350042857143e-12,4.1197268e-11,4.1183057e-11,4.119320771428571e-11,2.4378721e-11,9.02334e-14,4.48993869202381e-12,2.4575897e-12,9.1038305e-15,4.5282472147916664e-13,0.0,0.0,0.0,6.0322236e-10,6.02995e-10,6.031898799999999e-10,2.8052227e-11,2.8045122e-11,2.8048166999999998e-11,2.0055069e-12,7.4038015e-15,3.690253521196429e-13,1.5624835e-11,1.561773e-11,1.5618745000000003e-11,948.6421,183.15372,610.2020251190477,,,,,,,,,,108,1,18,0,83,2,3,2,4,5,2,4,56,52,0,3550308
2000-05-07,2381376.0,3.599998771308677e-12,807083.6825396825,-60370.0,-495069.8125,-279953.1845238095,1899.1351165771484,10.84018325805664,635.9730738231113,9.8,0.6,6.242857142857143,5.9,29.5,15.9,22.228571428571428,43.0,67.04285714285714,2.4857142857142853,25.377180541777875,22.676089749414103,24.080439435909437,,0,0.0,,0,0.0,,-0.7,,,,,,,,,,,,,,,,,,,,,,2000-05-07,0.0,0.0,0.0,6.2740924e-12,5.8957283e-12,6.085290985714286e-12,4.121148e-11,4.1197268e-11,4.120741942857143e-11,1.7195134e-11,5.4678494e-14,2.976676953738095e-12,1.7355006e-12,5.5302997e-15,3.0064074541845237e-13,0.0,0.0,0.0,6.0344973e-10,6.0344973e-10,6.0344973e-10,2.8066438e-11,2.8052227e-11,2.805933285714286e-11,1.4104273e-12,4.459975e-15,2.436147147529762e-13,1.563194e-11,1.5624835e-11,1.5626864999999998e-11,1112.1832,145.01768,514.9397581547619,,,,,,,,,,137,1,19,0,96,7,4,3,9,6,3,3,69,68,0,3550308
2000-05-14,2309760.0,3.599998771308677e-12,679490.5396825396,-38566.0,-494371.9375,-229308.76636904763,1537.060772895813,118.50559902191162,670.3317813721914,7.8,3.5,6.085714285714286,1.0,23.3,11.8,16.414285714285715,44.0,74.45714285714287,2.8285714285714287,26.28969029012904,21.423856958749436,23.938901601844265,,0,0.0,,0,0.0,,-0.7,,,,,,,,,,,,,,,,,,,,,,2000-05-14,0.0,0.0,0.0,5.833556e-12,5.455192e-12,5.643993214285715e-12,4.122569e-11,4.121148e-11,4.122366000000001e-11,1.0018653e-11,1.9137473e-14,1.463268254077381e-12,1.0138557e-12,1.9550338e-15,1.484622218e-13,0.0,0.0,0.0,6.036771e-10,6.036771e-10,6.036771e-10,2.8073543e-11,2.8066438e-11,2.8070498e-11,8.1556983e-13,1.5139801e-15,1.1819530952202382e-13,1.5639046e-11,1.563194e-11,1.5633970285714287e-11,1110.8441,144.11711,490.2340749404762,,,,,,,,,,103,0,20,0,72,0,5,3,7,3,4,2,45,58,0,3550308
