codigo_ibge,date,rnet_max,rnet_min,rnet_mean,rterm_max,rterm_min,rterm_mean,pblhera5_max,pblhera5_min,pblhera5_mean
3513801,2024-01-01,687.5333,-59.32705,189.71794,-40.164845,-87.2324,-58.05597,889.52905,142.78531,490.28745
3513801,2024-01-02,712.6194,-49.802032,189.74736,-25.830486,-91.59559,-54.339214,887.1631,112.815,416.9833
