date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-01-01,27.898838519404432,18.000000000000004,21.274951604975186,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-02,30.95816899291563,18.8,23.129541939963616,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-03,29.13827368377776,19.899999999999995,23.389470764983525,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-04,23.6,16.7,20.3875,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-05,18.000000000000004,15.900000000000002,16.7625,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-06,17.600000000000005,15.599999999999998,16.570833333333333,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-07,18.100000000000005,15.900000000000002,16.9375,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-08,20.799999999999997,16.5,18.308333333333334,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-09,20.900000000000002,16.7,18.291666666666668,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-10,22.200000000000003,17.600000000000005,19.533333333333335,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-11,28.00978939244443,19.099999999999998,21.843459547352595,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-12,28.636128058451085,18.199999999999996,21.80567200243546,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-13,30.613524968984553,20.2,23.578735871358898,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-14,30.06062877267562,18.9,23.518854172129362,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-15,32.45097729044447,19.899999999999995,24.81836384224003,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-16,34.33180335555564,20.699999999999996,24.374561611254645,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-17,32.60485430961779,20.500000000000004,24.012574185749173,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-18,29.561734239555562,19.899999999999995,22.668715907726305,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-19,28.994164419651156,18.7,22.0122568508188,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-20,25.2,18.9,21.079166666666666,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-21,29.156750657171155,18.299999999999997,22.04013136422435,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-22,31.334381422835598,19.400000000000002,24.26728800991037,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-23,32.457082995795645,20.4,22.885711791491488,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-24,29.792110420444416,19.6,22.43405010434741,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-25,26.4,18.6,22.166666666666668,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-26,26.599999999999998,18.299999999999997,22.045833333333334,0,0,0.0,0,0,0.0,0.0,-0.68
2023-01-27,25.699999999999996,17.5,20.858333333333334,0,0,0.0,0,0,0.0,0.0,-0.68
